,Tanggal,id,username,teks,Label
1,2022-10-18 23:58:04,1.58252E+18,MelangkahBersama,"https://t.co/bAoBFqenfJ saat ini peternak ayam mandiri dan UMKM sdg merugi akibat adanya monopoli yg dikuasai pengusaha besar
Serba Serbi MMC
#IslamKaffah",0
6,2022-10-18 23:51:51,1.58252E+18,aku siapa,"RT @swowwy: Orang Indo gausah takut resesi, gausah percaya influencer2 gak jelas.. tulang punggung ekonomi Indo bukan ekspor tapi umkm loka…",1
11,2022-10-18 23:47:41,1.58252E+18,Yani/m,"Serba-serbi MMC

Peternak ayam mandiri dan UMKM merugi disebabkan harga jual ayam yang merosot tajam. Hal ini disebabkan adanya monopoli dan dominasi yang kuat dari korporasi. Bagaimana Islam kaffah memandang hal ini? SImak dalam video berikut ini!

https://t.co/3nnFmVCAOS",0
12,2022-10-18 23:47:15,1.58252E+18,🅼🆄🆂🆃 🅱🅴🅴 🅻🅰🅶🅸🐝🐝,"@terbucinz @erickthohir @denni_sauya @NgkongRoses @MARV3LLL @yarachantique @Aryprasetyo85 @p3juangNKRI @seruanhl @farrel27 @K412R4 @Arindra__ Betul, contoh kontribusi perempuan dalam mendorong perekonomian nasional adalah di sektor UMKM.
#BangkitBersamaET",
14,2022-10-18 23:46:08,1.58252E+18,lelucky,"RT @qiunco2761: Agar UMKM bisa bangkit 
@ganjarpranowo 
Mengimbau warga Jateng 
Kalau wisata 
Piknik Lokal https://t.co/Kd52rUhYoE",1
15,2022-10-18 23:45:34,1.58252E+18,Matcha,"Jajan di umkm itu lebih baik menurut gw, drpd sering ikutan fomo ke tempat fancy yg lg hits misal. Jadi bisa ambil jalan tengahnya.
1. Tetap bisa nabung
2. Tetap bisa jajan",1
16,2022-10-18 23:45:26,1.58252E+18,Matcha,"Cuman mau komen yg bagian ""daya beli umkm turun"".
Gw sbg generasi milenial ngerasa yg disebarin ttg saving money tuh bagus bgt. Gada yg salah dg ""hemat &amp; nabung"".
Tp coba deh dipikir, generasi milenial banyk yg fomo fancy itulah yg nggk banget. https://t.co/92bYADB5Ac",
17,2022-10-18 23:44:19,1.58252E+18,"Eddi Mak, CFP®AEPP®","Apakah sebuah bisnis punya resiko berhenti ? 

Acara hari ini menemani makan siang mu dan akan membahas tentang bagaimana cara kamu akan mengantisipasi segala kemungkinan resiko yang akan mengganggu kelancaran bisnis kamu.

Bisnis UMKM saat ini menjadi uj…https://t.co/p0PX5CLsvT",
18,2022-10-18 23:43:05,1.58252E+18,PinginHaji,"Adanya monopoli dan dominasi yang kuat dari perusahaan-perusahaan integrator sebabkan para peternak ayam mandiri dan UMKM merugi. Bagaimana Islam memandang hal ini? 

https://t.co/wN7lVrwBUy

Serba-serbi MMC     
#Islamkaffah",
19,2022-10-18 23:41:40,1.58252E+18,Ummi1,"Saat ini para peternak ayam mandiri dan UMKM rugi guys... harga jual ayam merosot tajam. Benarkah ada monopoli dan dominasi yang kuat dari perusahaan-perusahaan integrator? Bgm Islam memandang hal ini? 

https://t.co/XzIKao7T7O
Serba-serbi MMC
#Islamkaffah",
